date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,profit_or_loss_after_20_days
2024-03-19,TX,202403,19816.0,19911.0,19739.0,19867.0,-47.0,-0.24,106964,19867.0,19876.4,19806.1,19388.4,,,71.49640247681856,20295.17635610974,19388.4,18481.623643890263,457.5587202669594,466.96591507901417,-9.40719481205474,196.65383946295745,491.0
2024-03-20,TX,202404,19866.0,19972.0,19794.0,19833.0,-52.0,-0.26,68842,19833.0,19857.6,19838.5,19442.4,,,69.91640926260632,20319.535428539806,19442.4,18565.264571460197,437.18048342909606,461.00882874903056,-23.8283453199345,195.3214223584605,-287.0
2024-03-21,TX,202404,20048.0,20264.0,20029.0,20264.0,431.0,2.17,110169,20260.0,19922.6,19894.0,19521.0,18537.18,,76.88873644664056,20396.8081981804,19521.0,18645.1918018196,450.614280967191,458.9299191926626,-8.315638225471616,212.1556064757133,-740.0
2024-03-22,TX,202404,20226.0,20285.0,20122.0,20242.0,-18.0,-0.09,94477,20240.0,20025.0,19939.1,19588.65,18586.06,,75.92147733128667,20467.750284381542,19588.65,18709.54971561846,454.2491447823086,457.9937643105918,-3.7446195282832377,208.64449172744807,-565.0
2024-03-25,TX,202404,20256.0,20307.0,20188.0,20231.0,-9.0,-0.04,72613,20229.0,20087.4,19990.7,19654.55,18639.76,,75.41065776522441,20518.649641245185,19654.55,18790.450358754813,451.0428512496255,456.60358169839856,-5.560730448773029,202.24131374691606,-61.0
2024-03-26,TX,202404,20280.0,20459.0,20038.0,20187.0,-42.0,-0.21,173550,20185.0,20151.4,20013.9,19715.75,18692.58,,73.28657243891902,20548.0592874647,19715.75,18883.4407125353,439.8807369291535,453.2590127445495,-13.378275815396023,217.86693419356493,-302.0
2024-03-27,TX,202404,20185.0,20288.0,20148.0,20261.0,76.0,0.38,86234,20258.0,20237.0,20047.3,19785.45,18747.42,,74.58322437120364,20552.71174803643,19785.45,19018.188251963573,432.02573867887986,449.0123579314156,-16.986619252535718,212.305010322596,-83.0
2024-03-28,TX,202404,20238.0,20250.0,20081.0,20203.0,-55.0,-0.27,103798,20202.0,20224.8,20073.7,19847.3,18799.58,,71.64775638291955,20535.746686389113,19847.3,19158.853313610885,416.32138690240754,442.47416372561395,-26.15277682320641,209.9975095852677,349.0
2024-03-29,TX,202404,20226.0,20299.0,20192.0,20280.0,78.0,0.39,84010,20278.0,20232.4,20128.7,19913.25,18854.28,,73.15816946667992,20493.682209650666,19913.25,19332.817790349334,405.41545446326563,435.0624218731443,-29.64696740987864,202.64054461489144,133.0
2024-04-01,TX,202404,20393.0,20400.0,20259.0,20288.0,10.0,0.05,83567,20293.0,20243.8,20165.6,19961.95,18910.88,,73.31721570346689,20494.568240393677,19961.95,19429.331759606324,392.88897799996994,426.6277330985094,-33.73875509853946,198.2376485709706,3.0
2024-04-02,TX,202404,20350.0,20524.0,20350.0,20523.0,230.0,1.13,96508,20521.0,20311.0,20231.2,20018.65,18969.84,,77.52924587886604,20536.45663379277,20018.65,19500.84336620723,397.3438585144795,420.7709581817034,-23.4270996672239,200.93495938732985,-141.0
2024-04-03,TX,202404,20370.0,20419.0,20275.0,20349.0,-172.0,-0.84,111570,20351.0,20328.6,20282.8,20060.65,19027.04,,68.8615583867791,20541.217695543204,20060.65,19580.0823044568,382.4256724957704,413.1019010445168,-30.676228548746394,204.2967480025206,253.0
2024-04-08,TX,202404,20404.0,20520.0,20375.0,20450.0,99.0,0.49,85815,20447.0,20378.0,20301.4,20097.7,19084.86,,70.89557071768732,20578.367910308007,20097.7,19617.032089691995,374.4364877518128,405.368818385976,-30.93233063416318,201.9184088594834,200.0
2024-04-09,TX,202404,20538.0,20877.0,20518.0,20874.0,427.0,2.09,117238,20869.0,20496.8,20364.6,20151.85,19155.68,,77.53100699746722,20718.443425659116,20151.85,19585.25657434088,397.7334343170696,403.84174157219473,-6.108307255125112,217.9956653695203,-149.0
2024-04-10,TX,202404,20822.0,20892.0,20804.0,20851.0,-18.0,-0.09,75731,20848.0,20609.4,20426.6,20208.65,19228.0,,76.51197812642889,20815.047320244576,20208.65,19602.252679755427,409.61869519506945,404.9971322967697,4.621562898299771,208.71026070026886,-239.0
2024-04-11,TX,202404,20706.0,20764.0,20651.0,20753.0,-95.0,-0.46,88537,20752.0,20655.4,20483.2,20248.55,19297.46,,72.15996401572559,20887.09944209521,20248.55,19610.00055790479,406.4448261371472,405.28667106484517,1.1581550723020086,208.08809922167822,56.0
2024-04-12,TX,202404,20745.0,20809.0,20682.0,20755.0,3.0,0.01,91615,20753.0,20736.6,20532.6,20289.95,19359.0,,72.19472376873281,20946.843438846645,20289.95,19633.056561153357,399.4858708793763,404.1265110277514,-4.640640148375098,202.2960921344155,128.0
2024-04-15,TX,202404,20544.0,20605.0,20460.0,20508.0,-245.0,-1.18,114946,20506.0,20748.2,20563.1,20318.4,19412.82,,61.913518789490965,20961.16540043756,20318.4,19675.634599562443,369.77744871583127,397.2566985653674,-27.47924984953613,208.9177998391001,505.0
2024-04-16,TX,202404,20278.0,20286.0,19798.0,19953.0,-553.0,-2.7,175352,19947.0,20564.0,20530.4,20329.55,19454.48,,46.04594130750367,20937.917150658344,20329.55,19721.182849341654,298.01412709235956,377.40818427076584,-79.39405717840629,244.70938556487866,1294.0
2024-04-17,TX,202405,19979.0,20242.0,19955.0,20185.0,203.0,1.02,78050,20189.0,20430.8,20520.1,20342.85,19500.12,,51.626899279458605,20925.83517133824,20342.85,19759.864828661757,256.9002525771939,353.30659793205143,-96.40634535485754,247.87300088167305,1185.0
