,期貨代號,多單成交口數_外資,多單成交口數_投信,多單成交口數_自營商,多單成交金額_外資,多單成交金額_投信,多單成交金額_自營商,多單未平倉口數_外資,多單未平倉口數_投信,多單未平倉口數_自營商,多單未平倉金額_外資,多單未平倉金額_投信,多單未平倉金額_自營商,空單成交口數_外資,空單成交口數_投信,空單成交口數_自營商,空單成交金額_外資,空單成交金額_投信,空單成交金額_自營商,空單未平倉口數_外資,空單未平倉口數_投信,空單未平倉口數_自營商,空單未平倉金額_外資,空單未平倉金額_投信,空單未平倉金額_自營商,商品名稱,合約類型,前五大交易員買方未平倉量,前五大交易員買方未平倉量百分比,前十大交易員買方未平倉量,前十大交易員買方未平倉量百分比,前五大交易員賣方未平倉量,前五大交易員賣方未平倉量百分比,前十大交易員賣方未平倉量,前十大交易員賣方未平倉量百分比,全體未平倉量,buy_top5_specific_open_interest,buy_top5_specific_open_interest_per,buy_top10_specific_open_interest,buy_top10_specific_open_interest_per,sell_top5_specific_open_interest,sell_top5_specific_open_interest_per,sell_top10_specific_open_interest,sell_top10_specific_open_interest_per,期貨代號,未沖銷契約數,多單未平倉口數,空單未平倉口數,未沖銷契約數,三大法人未平倉量,散戶多單,散戶空單,多空比
2018-06-20,TX,81585.0,806.0,32720.0,175724156.0,1735774.0,70737769.0,64890.0,1364.0,5556.0,139333973.0,2929489.0,11737308.0,79172.0,524.0,39116.0,170745887.0,1123135.0,84543612.0,29722.0,27635.0,11316.0,63785115.0,59352981.0,24116854.0,臺股期貨,all,54954.0,55.8,66584.0,67.6,45317.0,46.0,54442.0,55.2,98562.0,54954.0,55.8,59762.0,60.6,40674.0,41.3,46075.0,46.7,TX,107506,12775.0,12859.0,40061.0,25634.0,27286.0,27202.0,0.0020968023763760267
2018-06-21,TX,47306.0,252.0,14808.0,101388023.0,539659.0,31704990.0,63832.0,1390.0,6389.0,136653683.0,2976438.0,13487211.0,51197.0,26.0,14033.0,109729021.0,55631.0,30040122.0,32555.0,27435.0,11368.0,69660777.0,58747869.0,24156039.0,臺股期貨,all,53559.0,50.9,65824.0,62.6,45868.0,43.6,55105.0,52.4,105217.0,53559.0,50.9,58866.0,55.9,41683.0,39.6,47086.0,44.8,TX,96438,11943.0,15017.0,37979.0,26960.0,26036.0,22962.0,0.08093946654730245
2018-06-22,TX,61710.0,527.0,15332.0,131302103.0,1123835.0,32581112.0,64051.0,1895.0,5959.0,136459880.0,4038138.0,12504506.0,63161.0,70.0,17578.0,134375280.0,149137.0,37351468.0,34225.0,27483.0,13156.0,72877316.0,58564849.0,27836182.0,臺股期貨,all,51136.0,47.1,63140.0,58.2,49425.0,45.5,59358.0,54.7,108570.0,51136.0,47.1,56268.0,51.8,43995.0,40.5,49927.0,46.0,TX,99105,10856.0,19470.0,40605.0,30326.0,29749.0,21135.0,0.2121413619012437
2018-06-25,TX,48106.0,80.0,14994.0,102288666.0,169552.0,31849477.0,63228.0,1914.0,6395.0,133807724.0,4051448.0,13344740.0,48907.0,95.0,12989.0,103987755.0,201361.0,27574649.0,34210.0,27517.0,11597.0,72351003.0,58246562.0,24340057.0,臺股期貨,all,51384.0,46.8,62496.0,57.0,47994.0,43.7,58241.0,53.1,109726.0,51384.0,46.8,56074.0,51.1,44167.0,40.3,52235.0,47.6,TX,100133,9673.0,18922.0,41376.0,28595.0,31703.0,22454.0,0.22353538283062646
2018-06-26,TX,73503.0,84.0,21693.0,154999814.0,176720.0,45720800.0,62355.0,1900.0,6868.0,132059084.0,4024853.0,14356481.0,75087.0,108.0,21519.0,158341871.0,227550.0,45335872.0,34939.0,27527.0,11880.0,73950863.0,58312481.0,24947190.0,臺股期貨,all,50986.0,46.1,61800.0,55.9,47471.0,42.9,58315.0,52.7,110619.0,50986.0,46.1,56393.0,51.0,43094.0,39.0,51655.0,46.7,TX,100696,8884.0,20044.0,42877.0,28928.0,33993.0,22833.0,0.260279403876204
2018-06-27,TX,54011.0,55.0,17781.0,114320574.0,116321.0,37609264.0,62285.0,1888.0,7115.0,131461987.0,3985839.0,14851608.0,52961.0,358.0,16608.0,112110714.0,755699.0,35109947.0,33823.0,27818.0,10900.0,71344087.0,58728654.0,22808780.0,臺股期貨,all,50378.0,44.9,61093.0,54.5,48003.0,42.8,58457.0,52.1,112114.0,50378.0,44.9,55984.0,49.9,44009.0,39.3,50338.0,44.9,TX,101958,8462.0,21569.0,44292.0,30031.0,35830.0,22723.0,0.29592251422378757
2018-06-28,TX,73612.0,40.0,18728.0,155079565.0,84403.0,39407808.0,64424.0,1899.0,6677.0,135550108.0,3996531.0,13886948.0,75521.0,41.0,20078.0,159126981.0,86242.0,42239959.0,37871.0,27830.0,11802.0,79639896.0,58570322.0,24646420.0,臺股期貨,all,51719.0,44.2,62838.0,53.7,49759.0,42.5,61121.0,52.2,117027.0,51719.0,44.2,57524.0,49.2,45168.0,38.6,52017.0,44.4,TX,106020,9177.0,25370.0,47203.0,34547.0,38026.0,21833.0,0.3430502298582717
2018-06-29,TX,71601.0,1060.0,18180.0,151656005.0,2262981.0,38512829.0,67957.0,2006.0,7336.0,145078400.0,4283506.0,15470478.0,66309.0,0.0,17421.0,140406976.0,0.0,36960944.0,36112.0,26877.0,11692.0,77049206.0,57392438.0,24769164.0,臺股期貨,all,53295.0,45.3,65813.0,56.0,49345.0,42.0,60929.0,51.8,117599.0,53295.0,45.3,58506.0,49.8,44154.0,37.5,49245.0,41.9,TX,106466,11918.0,21418.0,46774.0,33336.0,34856.0,25356.0,0.20310428870740155
2018-07-02,TX,55371.0,46.0,18727.0,118137724.0,97934.0,39934841.0,64977.0,1982.0,7031.0,137835282.0,4205697.0,14733833.0,55035.0,293.0,17392.0,117454691.0,622091.0,37054867.0,32786.0,27100.0,10042.0,69508333.0,57505484.0,21100911.0,臺股期貨,all,50357.0,44.7,61864.0,54.9,44991.0,39.9,56365.0,50.0,112646.0,50357.0,44.7,56754.0,50.4,44991.0,39.9,46994.0,41.7,TX,102217,11610.0,19706.0,43744.0,31316.0,32134.0,24038.0,0.1850768105340161
2018-07-03,TX,89141.0,112.0,29725.0,189415512.0,237955.0,63101284.0,64829.0,2025.0,8224.0,137648865.0,4301105.0,17279203.0,92418.0,278.0,28826.0,196386978.0,590213.0,61172462.0,35912.0,27309.0,10304.0,76216069.0,58009050.0,21655820.0,臺股期貨,all,52566.0,46.6,64335.0,57.0,49157.0,43.6,59692.0,52.9,112850.0,48657.0,43.1,55897.0,49.5,49157.0,43.6,50841.0,45.1,TX,102649,11300.0,20032.0,42761.0,31332.0,31461.0,22729.0,0.20420476602511634
2018-07-04,TX,53716.0,119.0,18007.0,114000223.0,252213.0,38182916.0,63741.0,2115.0,8150.0,135279507.0,4490083.0,17129149.0,54994.0,16.0,17701.0,116715591.0,33938.0,37531966.0,36087.0,27296.0,9880.0,76557453.0,57959602.0,20758785.0,臺股期貨,all,52929.0,46.8,64588.0,57.2,48707.0,43.1,59294.0,52.5,113007.0,49180.0,43.5,55639.0,49.2,48707.0,43.1,52236.0,46.2,TX,102438,11817.0,21095.0,44533.0,32912.0,32716.0,23438.0,0.20833988278355378
2018-07-05,TX,69687.0,65.0,20609.0,147199877.0,136807.0,43492852.0,62189.0,2127.0,9559.0,130536598.0,4465910.0,19908296.0,75670.0,638.0,21115.0,159860379.0,1341750.0,44514356.0,40518.0,27881.0,11864.0,85022162.0,58554964.0,24666825.0,臺股期貨,all,52701.0,43.7,64035.0,53.1,51943.0,43.1,64256.0,53.3,120634.0,48200.0,40.0,54231.0,45.0,51943.0,43.1,55582.0,46.1,TX,108571,12157.0,27867.0,51125.0,40024.0,38968.0,23258.0,0.30728606356968213
2018-07-06,TX,93755.0,149.0,25867.0,196883122.0,313742.0,54258656.0,64948.0,2239.0,9530.0,136807007.0,4717506.0,19914554.0,90584.0,74.0,25164.0,190229170.0,153955.0,52784489.0,40095.0,27918.0,11124.0,84429316.0,58837997.0,23191505.0,臺股期貨,all,53638.0,44.1,65182.0,53.6,52157.0,42.9,67215.0,55.2,121673.0,49266.0,40.5,55480.0,45.6,52157.0,42.9,52157.0,42.9,TX,110119,12276.0,27045.0,49131.0,39321.0,36855.0,22086.0,0.3006045063198388
2018-07-09,TX,68172.0,1288.0,17505.0,144790244.0,2744407.0,37148143.0,69185.0,2409.0,8011.0,147415779.0,5134625.0,16894425.0,62625.0,70.0,19004.0,133050198.0,149172.0,40351696.0,38776.0,26870.0,10974.0,82587172.0,57295578.0,23165000.0,臺股期貨,all,55035.0,45.2,66605.0,54.7,49368.0,40.5,65212.0,53.6,121753.0,51436.0,42.2,58515.0,48.1,49368.0,40.5,49368.0,40.5,TX,109882,15503.0,25005.0,50403.0,40508.0,34900.0,25398.0,0.1885205245719501
2018-07-10,TX,48861.0,283.0,14371.0,104593001.0,602290.0,30738439.0,67512.0,2556.0,8506.0,144458692.0,5468430.0,18023402.0,46667.0,51.0,13973.0,99909884.0,109208.0,29879454.0,34896.0,26785.0,11071.0,74635475.0,57361395.0,23460769.0,臺股期貨,all,56700.0,48.5,68210.0,58.4,45195.0,38.7,61221.0,52.4,116879.0,52655.0,45.1,59463.0,50.9,45195.0,38.7,47606.0,40.7,TX,105650,17149.0,22293.0,48285.0,39442.0,31136.0,25992.0,0.10653412032722377
2018-07-11,TX,66551.0,177.0,23844.0,141295314.0,373305.0,50571663.0,65511.0,2623.0,8773.0,138933923.0,5560100.0,18442147.0,69432.0,538.0,23140.0,147383010.0,1141848.0,49072575.0,35776.0,27213.0,10573.0,75829014.0,57766421.0,22190073.0,臺股期貨,all,56505.0,48.7,67397.0,58.1,45998.0,39.6,60939.0,52.5,116101.0,52110.0,44.9,57935.0,49.9,45998.0,39.6,48188.0,41.5,TX,105046,15825.0,23049.0,47234.0,38874.0,31409.0,24185.0,0.15294067832493544
2018-07-12,TX,64639.0,1338.0,18791.0,138018031.0,2864630.0,40086953.0,71878.0,2673.0,9176.0,154172982.0,5724303.0,19507743.0,59428.0,365.0,20427.0,126929315.0,782324.0,43616415.0,36926.0,26290.0,12573.0,79173035.0,56458531.0,26736944.0,臺股期貨,all,58207.0,47.6,71556.0,58.5,45018.0,36.8,59685.0,48.8,122372.0,53701.0,43.9,61962.0,50.6,40812.0,33.4,47245.0,38.6,TX,110285,20464.0,20331.0,51975.0,40795.0,31511.0,31644.0,-0.0025589225589225588
2018-07-13,TX,60248.0,5195.0,18294.0,129958756.0,11243097.0,39470541.0,72660.0,2757.0,11093.0,157247119.0,5954728.0,23856538.0,60474.0,4496.0,17676.0,130606617.0,9633714.0,38107007.0,37924.0,25675.0,14324.0,82122048.0,55598138.0,30766526.0,臺股期貨,all,59543.0,47.3,72779.0,57.8,45797.0,36.4,60475.0,48.1,125841.0,53902.0,42.8,61335.0,48.7,40905.0,32.5,48973.0,38.9,TX,113119,24620.0,19463.0,54768.0,44083.0,30148.0,35305.0,-0.09416082383873794
2018-07-16,TX,87409.0,13431.0,19845.0,188806818.0,29098087.0,42951244.0,72512.0,2782.0,11730.0,155889227.0,5974418.0,25172985.0,87081.0,13420.0,19722.0,188437723.0,28789788.0,42614913.0,37448.0,25689.0,15035.0,80604742.0,55169566.0,32164845.0,臺股期貨,all,63402.0,50.7,77579.0,62.1,45498.0,36.4,61061.0,48.9,124964.0,56739.0,45.4,64374.0,51.5,39495.0,31.6,48264.0,38.6,TX,112678,25976.0,19852.0,54069.0,45828.0,28093.0,34217.0,-0.11326268286818694
2018-07-17,TX,100738.0,9263.0,21542.0,216522452.0,19978382.0,46343043.0,81227.0,2783.0,9066.0,173538214.0,5938119.0,19345945.0,102597.0,9781.0,24050.0,220657534.0,20910753.0,51761056.0,48022.0,26208.0,14649.0,102666942.0,55879476.0,31230791.0,臺股期貨,all,66746.0,50.3,81453.0,61.4,48716.0,36.7,66862.0,50.4,132632.0,61750.0,46.6,70332.0,53.0,43369.0,32.7,54386.0,41.0,TX,120250,24652.0,23317.0,53223.0,47969.0,28571.0,29906.0,-0.02508314074742123
2018-07-18,TX,64149.0,648.0,29809.0,138001750.0,1397098.0,64292033.0,69067.0,2811.0,5355.0,148002663.0,6024508.0,11405439.0,56105.0,576.0,33343.0,120749795.0,1238416.0,71923240.0,32028.0,26164.0,12929.0,68626189.0,56074505.0,27637567.0,臺股期貨,all,57005.0,55.9,68891.0,67.6,42463.0,41.7,54964.0,53.9,101937.0,57005.0,55.9,61564.0,60.4,38138.0,37.4,43603.0,42.8,TX,117561,14058.0,12668.0,43452.0,26726.0,29394.0,30784.0,-0.03198932155021633
2018-07-19,TX,56502.0,81.0,16449.0,121522726.0,174220.0,35350900.0,71002.0,2856.0,5680.0,152205784.0,6123240.0,12110967.0,54606.0,68.0,16053.0,117439099.0,146110.0,34498762.0,32068.0,26196.0,12870.0,68740141.0,56164008.0,27523458.0,臺股期貨,all,57473.0,52.8,69875.0,64.2,41534.0,38.2,54255.0,49.8,108867.0,57473.0,52.8,62414.0,57.3,37761.0,34.7,43217.0,39.7,TX,99555,18100.0,13790.0,41144.0,31890.0,23044.0,27354.0,-0.10475403461014972
2018-07-20,TX,86844.0,666.0,24571.0,187457443.0,1441477.0,53028598.0,78185.0,2630.0,6010.0,169226429.0,5693400.0,12939230.0,81341.0,340.0,24782.0,175562646.0,735665.0,53495104.0,33733.0,25644.0,13400.0,73011277.0,55513867.0,28939126.0,臺股期貨,all,60274.0,52.0,74931.0,64.6,41231.0,35.6,54821.0,47.3,115965.0,60274.0,52.0,66770.0,57.6,37843.0,32.6,43234.0,37.3,TX,105157,26812.0,14412.0,48090.0,41224.0,21278.0,33678.0,-0.2578498648367644
2018-07-23,TX,58790.0,51.0,18299.0,127316881.0,110461.0,39617612.0,76820.0,2559.0,6688.0,166349368.0,5542259.0,14414565.0,58642.0,917.0,16856.0,126984620.0,1986068.0,36493651.0,32220.0,26439.0,12642.0,69768700.0,57261290.0,27312839.0,臺股期貨,all,60195.0,52.0,75553.0,65.3,41514.0,35.9,54726.0,47.3,115709.0,60195.0,52.0,67189.0,58.1,38245.0,33.1,45877.0,39.6,TX,104920,25055.0,13144.0,47761.0,38199.0,22706.0,34617.0,-0.24938757563702602
2018-07-24,TX,44008.0,75.0,13822.0,95403306.0,163028.0,29972068.0,74125.0,2585.0,8300.0,161133016.0,5620283.0,17971225.0,46552.0,38.0,12135.0,100917955.0,82538.0,26313643.0,32069.0,26428.0,12552.0,69710538.0,57459454.0,27220454.0,臺股期貨,all,58589.0,49.6,73099.0,61.9,41747.0,35.3,55085.0,46.6,118174.0,58589.0,49.6,64019.0,54.2,38447.0,32.5,46347.0,39.2,TX,106665,23998.0,13678.0,50766.0,37676.0,26768.0,37088.0,-0.2032856636331403
2018-07-25,TX,43645.0,34.0,12305.0,94924076.0,73994.0,26754982.0,75416.0,2561.0,7519.0,163833515.0,5564517.0,16264119.0,40926.0,44.0,13034.0,89009347.0,95631.0,28342509.0,30641.0,26414.0,12500.0,66562676.0,57392035.0,27089734.0,臺股期貨,all,57577.0,49.2,72679.0,62.1,40808.0,34.8,54718.0,46.7,117111.0,57577.0,49.2,66476.0,56.8,40808.0,34.8,45302.0,38.7,TX,105768,23642.0,13257.0,50520.0,36899.0,26878.0,37263.0,-0.20556215360253366
2018-07-26,TX,48596.0,72.0,12286.0,105917539.0,157138.0,26773284.0,76570.0,2560.0,8384.0,167104120.0,5587942.0,18217592.0,46476.0,55.0,12222.0,101301372.0,119929.0,26636187.0,29675.0,26396.0,13309.0,64758948.0,57616854.0,28976828.0,臺股期貨,all,57909.0,48.5,75391.0,63.1,40412.0,33.8,53556.0,44.8,119488.0,57909.0,48.5,65957.0,55.2,33532.0,28.1,43293.0,36.2,TX,107083,28665.0,13808.0,54680.0,42473.0,26015.0,40872.0,-0.27170811997073885
2018-07-27,TX,46306.0,399.0,12531.0,101473136.0,876822.0,27455596.0,82234.0,2640.0,9297.0,180730306.0,5803223.0,20342742.0,40617.0,44.0,14271.0,89006577.0,96719.0,31292139.0,29648.0,26121.0,15962.0,65156634.0,57418863.0,35010206.0,臺股期貨,all,61425.0,47.3,80416.0,61.9,41142.0,31.7,55411.0,42.7,129839.0,61425.0,47.3,70109.0,54.0,33084.0,25.5,41027.0,31.6,TX,115312,33969.0,16504.0,64072.0,50473.0,30103.0,47568.0,-0.2725839680359595
2018-07-30,TX,51466.0,24.0,14730.0,113013996.0,52514.0,32325314.0,81067.0,2623.0,7493.0,177321914.0,5738574.0,16301828.0,52057.0,52.0,15276.0,114308952.0,113830.0,33524767.0,29071.0,26132.0,14784.0,63585683.0,57171263.0,32264131.0,臺股期貨,all,61140.0,48.7,80176.0,63.9,40217.0,32.1,53003.0,42.2,125467.0,61140.0,48.7,70134.0,55.9,32639.0,26.0,42684.0,34.0,TX,111977,33007.0,15380.0,59383.0,48387.0,26376.0,44003.0,-0.29683579475607497
2018-07-31,TX,43330.0,76.0,15334.0,94975377.0,166807.0,33612281.0,82093.0,2591.0,7798.0,180403309.0,5694993.0,17046296.0,41515.0,108.0,15620.0,91004714.0,236705.0,34243474.0,28281.0,26132.0,15365.0,62145813.0,57437817.0,33692902.0,臺股期貨,all,60766.0,47.7,80079.0,62.9,39920.0,31.3,53529.0,42.0,127343.0,60766.0,47.7,69756.0,54.8,32396.0,25.4,40236.0,31.6,TX,113337,34237.0,15535.0,61627.0,49772.0,27390.0,46092.0,-0.3034708812695734
2018-08-01,TX,39636.0,94.0,13030.0,87433754.0,207576.0,28735516.0,83114.0,2640.0,9739.0,183543094.0,5831204.0,21404279.0,38741.0,24.0,13124.0,85453783.0,52930.0,28952731.0,28407.0,26111.0,17401.0,62725826.0,57673627.0,38350976.0,臺股期貨,all,61475.0,46.6,81549.0,61.9,41876.0,31.8,55589.0,42.2,131792.0,61475.0,46.6,70359.0,53.4,28599.0,21.7,42312.0,32.1,TX,117360,34441.0,15054.0,63678.0,49495.0,29237.0,48624.0,-0.30445365746411635
2018-08-02,TX,59812.0,18.0,21628.0,130973206.0,39261.0,47327199.0,81977.0,2571.0,9296.0,178211566.0,5590357.0,20110221.0,62980.0,818.0,20944.0,137975645.0,1780249.0,45824078.0,28059.0,26842.0,16271.0,60991491.0,58364918.0,35285468.0,臺股期貨,all,59090.0,46.2,80217.0,62.7,41231.0,32.2,56152.0,43.9,127995.0,59090.0,46.2,68302.0,53.4,37334.0,29.2,42807.0,33.4,TX,117080,21590.0,18212.0,58167.0,39802.0,36577.0,39955.0,-0.05807416576409304
2018-08-03,TX,49704.0,929.0,13324.0,108802722.0,2038206.0,29154714.0,83749.0,2580.0,8965.0,183652337.0,5658946.0,19552543.0,45796.0,26.0,13821.0,100256498.0,57009.0,30254028.0,25921.0,25948.0,16429.0,56834255.0,56914016.0,35942544.0,臺股期貨,all,60213.0,46.9,80946.0,63.0,40828.0,31.8,54307.0,42.3,128425.0,60213.0,46.9,69335.0,54.0,32223.0,25.1,39920.0,31.1,TX,116779,23589.0,18308.0,61276.0,41897.0,37687.0,42968.0,-0.0861838240094001
2018-08-06,TX,54725.0,76.0,17735.0,120342100.0,166975.0,38984759.0,81350.0,2622.0,9162.0,178598548.0,5757887.0,20009554.0,56100.0,29.0,16974.0,123355514.0,63644.0,37319478.0,24895.0,25943.0,15866.0,54647004.0,56970516.0,34748402.0,臺股期貨,all,59474.0,47.3,80372.0,63.9,40387.0,32.1,54031.0,42.9,125843.0,59474.0,47.3,68458.0,54.4,32004.0,25.4,39475.0,31.4,TX,114266,24686.0,18416.0,60874.0,43102.0,36188.0,42458.0,-0.1029996385977593
2018-08-07,TX,42611.0,0.0,13652.0,93556639.0,0.0,29962561.0,82590.0,2578.0,8602.0,181121153.0,5655077.0,18759139.0,42354.0,257.0,14347.0,92989003.0,563681.0,31491129.0,25878.0,26156.0,16006.0,56739421.0,57375498.0,35017753.0,臺股期貨,all,61107.0,48.2,81670.0,64.4,40710.0,32.1,54622.0,43.1,126736.0,61107.0,48.2,69979.0,55.2,32274.0,25.5,39831.0,31.4,TX,115134,24665.0,18937.0,60972.0,43602.0,36307.0,42035.0,-0.09394476152988257
2018-08-08,TX,43178.0,273.0,17081.0,95335902.0,601508.0,37707714.0,86111.0,2633.0,10054.0,190196325.0,5815718.0,22093726.0,39967.0,183.0,17944.0,88254512.0,404536.0,39625487.0,26188.0,26121.0,18321.0,57832571.0,57711426.0,40385712.0,臺股期貨,all,61766.0,46.1,83742.0,62.5,42410.0,31.6,56838.0,42.4,134032.0,61766.0,46.1,74156.0,55.3,28549.0,21.3,39596.0,29.5,TX,121069,28428.0,20412.0,67107.0,48840.0,38679.0,46695.0,-0.1194510259734454
2018-08-09,TX,42567.0,1164.0,16685.0,93785621.0,2556659.0,36739698.0,83980.0,2668.0,8322.0,184985961.0,5869138.0,18237944.0,44188.0,1583.0,15168.0,97353297.0,3488007.0,33396123.0,25678.0,26575.0,15084.0,56551107.0,58555074.0,33150371.0,臺股期貨,all,61212.0,47.8,81052.0,63.3,40596.0,31.7,53851.0,42.0,128079.0,61212.0,47.8,72641.0,56.7,32259.0,25.2,39546.0,30.9,TX,115911,29049.0,19682.0,63620.0,48731.0,34571.0,43938.0,-0.1472335743476894
