Date,aapl,aapl_sma20,aapl_sma50,aapl_sma100,aapl_sma150,upperband_5day,middleband_5day,lowerband_5day,macd,macdsignal,macdhist
2022-10-14,137.02198791503906,144.61176986694335,154.81643493652345,149.64871017456053,152.97104461669923,141.92295925050442,138.44983825683593,134.97671726316744,-4.430553164516283,-4.204933226646054,-0.2256199378702286
2022-10-17,141.012451171875,144.01419219970703,154.3621371459961,149.67093704223632,152.91968454996746,142.895407083828,138.84393615722655,134.7924652306251,-4.11841380515213,-4.18762934234727,0.06921553719513973
2022-10-18,142.33929443359375,143.3631446838379,153.94388244628905,149.7048501586914,152.84774658203125,144.41599453535596,139.78857421875,135.16115390214404,-3.721081638844794,-4.094319801646774,0.3732381628019805
2022-10-19,142.44821166992188,142.87498321533204,153.52681610107422,149.70761703491212,152.74691385904947,144.8807537377893,140.88174133300782,136.88272892822636,-3.358687465320344,-3.9471933343814882,0.5885058690611444
2022-10-20,141.9828338623047,142.4120719909668,153.0148895263672,149.64778594970704,152.63619873046875,145.027807365034,140.96095581054686,136.89410425605973,-3.0736089212541913,-3.7724764517560287,0.6988675305018375
2022-10-21,145.82473754882812,142.25562210083007,152.59465423583984,149.63428451538087,152.52897939046224,145.98553103751817,142.72150573730468,139.4574804370912,-2.5087532559383305,-3.519731812592489,1.0109785566541585
2022-10-24,147.98333740234375,142.19026870727538,152.14609924316406,149.64365417480468,152.42693532307942,148.87926822533413,144.11568298339844,139.35209774146276,-1.8654167405991302,-3.188868798193817,1.3234520575946869
2022-10-25,150.84498596191406,142.21898345947267,151.7331915283203,149.65692001342774,152.32132537841798,152.51149290570288,145.8168212890625,139.1221496724221,-1.111840192597299,-2.7734630770745134,1.6616228844772145
2022-10-26,147.8843231201172,142.1947235107422,151.26423919677734,149.69822708129882,152.18682790120442,152.77192609897128,146.90404357910157,141.03616105923186,-0.7449389051312778,-2.3677582426858663,1.6228193375545885
2022-10-27,143.3789825439453,142.30958404541016,150.675078125,149.6869659423828,151.99688700358072,152.15181117523343,147.1832733154297,142.21473545562594,-0.8083916870661199,-2.055884931561917,1.2474932444957973
2022-10-28,154.21165466308594,143.17797927856446,150.31049194335938,149.75861877441406,151.87488525390626,156.03519002111096,148.86065673828125,141.68612345545154,0.015251820204895239,-1.6416575812085548,1.65690940141345
2022-10-31,151.8351593017578,143.71713485717774,149.9504592895508,149.81392303466797,151.73124755859374,157.0850444439663,149.63102111816406,142.17699779236182,0.47080477491005013,-1.2191651099848337,1.6899698848948839
2022-11-01,149.17156982421875,143.94240188598633,149.61537994384764,149.89519592285157,151.5477359008789,156.65190178268148,149.296337890625,141.94077399856855,0.6098741141499033,-0.8533572651578862,1.4632313793077896
