date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,profit_or_loss_after_20_days
2024-03-22,TX,202404,20226.0,20285.0,20122.0,20242.0,-18.0,-0.09,94477,20240.0,20025.0,19939.1,19588.65,18586.06,17866.75,17304.86,76.67087622094995,20467.750284381542,19588.65,18709.54971561846,440.66740724564806,438.14836765375173,2.5190395918963304,207.73243485829678,-565.0
2024-03-25,TX,202404,20256.0,20307.0,20188.0,20231.0,-9.0,-0.04,72613,20229.0,20087.4,19990.7,19654.55,18639.76,17905.71,17323.165,76.15230143284836,20518.649641245185,19654.55,18790.450358754813,438.4633380593259,438.21136173486656,0.25197632445934914,201.39440379698985,-61.0
2024-03-26,TX,202404,20280.0,20459.0,20038.0,20187.0,-42.0,-0.21,173550,20185.0,20151.4,20013.9,19715.75,18692.58,17944.0,17341.22,73.99636460923857,20548.0592874647,19715.75,18883.4407125353,428.22979851951095,436.21504909179544,-7.985250572284485,217.08051781149058,-302.0
2024-03-27,TX,202404,20185.0,20288.0,20148.0,20261.0,76.0,0.38,86234,20258.0,20237.0,20047.3,19785.45,18747.42,17985.92,17360.08,75.2646994312592,20552.71174803643,19785.45,19018.188251963573,421.2350903499173,433.2190573434198,-11.98396699350252,211.57476653924124,-83.0
2024-03-28,TX,202404,20238.0,20250.0,20081.0,20203.0,-55.0,-0.27,103798,20202.0,20224.8,20073.7,19847.3,18799.58,18026.44,17378.745,72.2885790538996,20535.746686389113,19847.3,19158.853313610885,406.32772536975244,427.84079094868633,-21.51306557893389,209.31942607215257,349.0
2024-03-29,TX,202404,20226.0,20299.0,20192.0,20280.0,78.0,0.39,84010,20278.0,20232.4,20128.7,19913.25,18854.28,18067.67,17396.595,73.77137729666227,20493.682209650666,19913.25,19332.817790349334,396.16010066597664,421.5046528921444,-25.344552226167764,202.0108956384274,133.0
2024-04-01,TX,202404,20393.0,20400.0,20259.0,20288.0,10.0,0.05,83567,20293.0,20243.8,20165.6,19961.95,18910.88,18110.61,17414.63,73.92747278182657,20494.568240393677,19961.95,19429.331759606324,384.31754455144255,414.06723122400405,-29.749686672561495,197.65297452139686,3.0
2024-04-02,TX,202404,20350.0,20524.0,20350.0,20523.0,230.0,1.13,96508,20521.0,20311.0,20231.2,20018.65,18969.84,18155.36,17433.51,78.05838531045717,20536.45663379277,20018.65,19500.84336620723,389.40594025029714,409.13497302926265,-19.729032778965518,200.3920477698685,-141.0
2024-04-03,TX,202404,20370.0,20419.0,20275.0,20349.0,-172.0,-0.84,111570,20351.0,20328.6,20282.8,20060.65,19027.04,18194.95,17450.81,69.3028977934161,20541.217695543204,20060.65,19580.0823044568,375.0745586439807,402.32289015220624,-27.248331508225533,203.79261578630647,253.0
2024-04-08,TX,202404,20404.0,20520.0,20375.0,20450.0,99.0,0.49,85815,20447.0,20378.0,20301.4,20097.7,19084.86,18234.33,17469.465,71.31423122396512,20578.367910308007,20097.7,19617.032089691995,367.62889432400334,395.38409098656564,-27.755196662562298,201.45028608728458,200.0
2024-04-09,TX,202404,20538.0,20877.0,20518.0,20874.0,427.0,2.09,117238,20869.0,20496.8,20364.6,20151.85,19155.68,18276.37,17489.395,77.86969308544629,20718.443425659116,20151.85,19585.25657434088,391.42925539155476,394.59312386756346,-3.1638684760087017,217.56097993819282,-149.0
2024-04-10,TX,202404,20822.0,20892.0,20804.0,20851.0,-18.0,-0.09,75731,20848.0,20609.4,20426.6,20208.65,19228.0,18317.79,17508.94,76.84382285653425,20815.047320244576,20208.65,19602.252679755427,403.78077183602727,396.4306534612562,7.350118374771057,208.3066242283219,-239.0
2024-04-11,TX,202404,20706.0,20764.0,20651.0,20753.0,-95.0,-0.46,88537,20752.0,20655.4,20483.2,20248.55,19297.46,18357.83,17526.605,72.46330909277575,20887.09944209521,20248.55,19610.00055790479,401.03873176447814,397.3522691219006,3.686462642577567,207.71329392629892,56.0
2024-04-12,TX,202404,20745.0,20809.0,20682.0,20755.0,3.0,0.01,91615,20753.0,20736.6,20532.6,20289.95,19359.0,18397.75,17544.365,72.4977657123385,20946.843438846645,20289.95,19633.056561153357,394.4797119732102,396.7777576921625,-2.2980457189522667,201.948058645849,128.0
2024-04-15,TX,202404,20544.0,20605.0,20460.0,20508.0,-245.0,-1.18,114946,20506.0,20748.2,20563.1,20318.4,19412.82,18435.47,17560.22,62.153939408649805,20961.16540043756,20318.4,19675.634599562443,365.1416798065693,390.45054211504385,-25.308862308474545,208.5946258854312,505.0
2024-04-16,TX,202404,20278.0,20286.0,19798.0,19953.0,-553.0,-2.7,175352,19947.0,20564.0,20530.4,20329.55,19454.48,18466.24,17573.645,46.20242062569109,20937.917150658344,20329.55,19721.182849341654,293.72137905143245,371.10470950232155,-77.3833304508891,244.40929546504327,1294.0
2024-04-17,TX,202405,19979.0,20242.0,19955.0,20185.0,203.0,1.02,78050,20189.0,20430.8,20520.1,20342.85,19500.12,18498.6,17588.295,51.774183830517714,20925.83517133824,20342.85,19759.864828661757,252.92517328542453,347.46880225894216,-94.54362897351763,247.59434578896875,1185.0
2024-04-18,TX,202405,20070.0,20359.0,20025.0,20358.0,169.0,0.84,120221,20353.0,20351.8,20503.6,20367.4,19547.38,18530.56,17604.14,55.47719667891515,20907.973917239677,20367.4,19826.826082760326,231.8805656535369,324.3511549378611,-92.4705892843242,253.76617823261384,978.0
2024-04-19,TX,202405,19840.0,19924.0,19265.0,19546.0,-807.0,-3.97,237961,19559.0,20110.0,20423.3,20353.05,19578.32,18554.16,17616.865,39.96559805890476,20960.68425676973,20353.05,19745.415743230267,147.97518285757178,289.07596052180327,-141.1007776642315,313.7114512159986,1756.0
2024-04-22,TX,202405,19620.0,19715.0,19445.0,19524.0,-35.0,-0.18,135191,19528.0,19913.2,20330.7,20316.05,19606.3,18577.18,17630.085,39.64218986211302,21022.889578688162,20316.05,19609.210421311836,78.79603470850998,247.0199753591446,-168.22394065063463,310.5892047005701,1753.0
2024-04-23,TX,202405,19651.0,19745.0,19554.0,19677.0,149.0,0.76,100612,19680.0,19858.0,20211.0,20287.8,19638.22,18601.95,17644.755,43.09122319058101,21047.411900907304,20287.8,19528.188099092695,35.90301510786594,204.79658330888887,-168.89356820102293,304.1899757933865,1906.0
2024-04-24,TX,202405,19930.0,20202.0,19916.0,20170.0,490.0,2.49,101458,20170.0,19855.0,20142.9,20284.75,19683.22,18629.5,17661.725,52.50840298719981,21045.738271920203,20284.75,19523.761728079797,41.21585712892556,172.08043807289621,-130.86458094397065,319.9621203795732,1434.0
2024-04-25,TX,202405,19940.0,19979.0,19834.0,19885.0,-285.0,-1.41,96972,19880.0,19760.4,20056.1,20269.65,19721.2,18655.51,17677.37,47.60418905699524,21049.54749967522,20269.65,19489.752500324783,22.17360108127832,142.09907067457263,-119.92546959329431,321.1076832096037,1680.0
2024-04-26,TX,202405,20126.0,20271.0,20070.0,20178.0,298.0,1.5,113798,20176.0,19886.8,19998.4,20265.5,19763.08,18684.22,17694.32,52.51450062958298,21046.420098345567,20265.5,19484.579901654433,30.374983367804816,119.75425321321907,-89.37926984541426,325.742848694632,1697.0
2024-04-29,TX,202405,20350.0,20560.0,20310.0,20552.0,376.0,1.86,97993,20550.0,20092.4,20002.8,20282.95,19812.4,18716.81,17711.905,57.93370370118348,21073.04707631396,20282.95,19492.85292368604,66.28917195847316,109.06123696226989,-42.772065003796726,329.76121664501545,1402.0
