,date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr
6827,2004-05-13,TX,200405,5920.0,5950.0,5850.0,5890.0,-52.0,-0.88,38907,5890.0,5884.0,5916.4,6316.8,6506.44,6422.99,6098.025,37.669911380459624,7155.208158357241,6316.8,5478.39184164276,-216.1541021268131,-170.57470973292135,-45.57939239389174,181.44095831231886
6832,2004-05-14,TX,200405,5908.0,5945.0,5720.0,5745.0,-145.0,-2.46,45489,5745.0,5837.2,5888.9,6262.65,6479.84,6422.94,6099.375,34.419448245072296,7101.890912968399,6262.65,5423.4090870316,-223.8927874950141,-181.2383252853399,-42.65446220967419,184.5523184328675
6837,2004-05-17,TX,200405,5695.0,5698.0,5343.0,5358.0,-387.0,-6.74,45298,5358.0,5758.6,5823.0,6190.1,6447.42,6418.72,6099.39,27.579350260838282,7077.371074700387,6190.1,5302.828925299614,-258.2761701909549,-196.6458942664629,-61.63027592449197,200.0842956876627
6842,2004-05-18,TX,200405,5429.0,5560.0,5386.0,5523.0,165.0,3.08,31290,5523.0,5691.6,5762.0,6124.3,6416.86,6415.95,6100.465,33.63492886269569,7004.482731028044,6124.3,5244.117268971956,-269.10900654599664,-211.13851672236964,-57.97048982362699,200.2211317099725
6847,2004-05-19,TX,200405,5592.0,5909.0,5560.0,5891.0,368.0,6.66,17440,5891.0,5681.4,5778.6,6077.65,6396.08,6416.48,6103.27,44.7342805984552,6901.656377402517,6077.65,5253.643622597482,-245.17337683503592,-217.9454887449029,-27.227888090133035,213.4910508735459
6852,2004-05-20,TX,200406,5775.0,5875.0,5588.0,5685.0,-146.0,-2.5,64609,5685.0,5640.4,5762.2,6026.0,6371.34,6414.95,6104.745,40.63710226880487,6811.5830955411475,6026.0,5240.4169044588525,-240.05944043089312,-222.36827908210094,-17.69116134879218,219.88454723972117
6857,2004-05-21,TX,200406,5734.0,5915.0,5670.0,5840.0,155.0,2.73,53127,5840.0,5659.4,5748.3,5980.5,6352.0,6414.71,6107.095,44.73836244302819,6695.30332959494,5980.5,5265.69667040506,-220.95240261646904,-222.08510378897455,1.1327011725055058,221.67850815116964
6862,2004-05-24,TX,200406,5878.0,5965.0,5756.0,5871.0,31.0,0.53,46743,5871.0,5762.0,5760.3,5938.05,6338.16,6414.82,6110.105,45.54862497835756,6567.940299972934,5938.05,5308.159700027067,-200.99159062378294,-217.86640115593622,16.874810532153276,220.7729004260861
6867,2004-05-25,TX,200406,5790.0,5925.0,5771.0,5841.0,-30.0,-0.51,38556,5841.0,5825.6,5758.6,5896.1,6323.88,6414.56,6113.1,44.8630809565054,6426.673614119648,5896.1,5365.526385880353,-185.45543774491216,-211.3842084737314,25.928770728819245,216.00340753850853
6872,2004-05-26,TX,200406,6000.0,6070.0,5971.0,5990.0,149.0,2.55,39341,5990.0,5845.4,5763.4,5865.35,6312.38,6416.1,6116.645,48.97104338160626,6288.412300376645,5865.35,5442.287699623355,-159.2837460279061,-200.96411598456635,41.68036995666026,216.93173557147222
6877,2004-05-27,TX,200406,6010.0,6025.0,5945.0,6001.0,11.0,0.18,26676,6001.0,5908.6,5774.5,5845.45,6295.5,6417.21,6120.62,49.27153116619016,6197.758657287875,5845.45,5493.141342712124,-136.0861670926115,-187.98852620617538,51.902359113563875,207.15089731636706
6882,2004-05-28,TX,200406,6053.0,6066.0,5990.0,6043.0,42.0,0.7,29754,6043.0,5949.2,5804.3,5846.6,6279.76,6418.61,6124.58,50.47078972147608,6201.322088401597,5846.6,5491.877911598403,-113.01015890008694,-172.9928527449577,59.98269384487077,197.7829760794837
6887,2004-05-31,TX,200406,6037.0,6038.0,5885.0,5928.0,-115.0,-1.9,35231,5928.0,5960.6,5861.3,5842.15,6271.28,6417.33,6127.895,47.181755441961535,6190.383413101069,5842.15,5493.91658689893,-102.81658941705336,-158.95760007937685,56.14101066232348,194.94133493094913
6892,2004-06-01,TX,200406,5930.0,5952.0,5810.0,5906.0,-22.0,-0.37,41623,5906.0,5973.6,5899.6,5830.8,6268.3,6414.95,6130.07,46.556697909213405,6154.293183854009,5830.8,5507.306816145991,-95.41346131020873,-146.24877232554323,50.8353110153345,191.15981100730988
6897,2004-06-02,TX,200406,5851.0,5855.0,5750.0,5790.0,-116.0,-1.96,32455,5790.0,5933.6,5889.5,5834.05,6260.5,6411.25,6131.69,43.29946774646095,6154.518079533659,5834.05,5513.581920466341,-97.77951807766476,-136.55492147596755,38.775403398302785,188.64839593535916
6902,2004-06-03,TX,200406,5814.0,5845.0,5554.0,5580.0,-210.0,-3.63,47982,5580.0,5849.4,5879.0,5820.6,6249.4,6405.31,6132.14,38.102334493767444,6159.480155807272,5820.6,5481.7198441927285,-115.27110650712257,-132.29815848219855,17.027051975075977,195.95922479711922
6907,2004-06-04,TX,200406,5615.0,5640.0,5530.0,5607.0,27.0,0.48,39913,5607.0,5762.2,5855.7,5802.0,6239.04,6399.27,6132.48,39.11420841658449,6144.874320998251,5802.0,5459.125679001749,-125.50786545889605,-130.94009987753805,5.432234418641997,189.81928016875355
6912,2004-06-07,TX,200406,5687.0,5909.0,5682.0,5890.0,283.0,5.05,45734,5890.0,5754.6,5857.6,5808.95,6227.42,6395.47,6134.155,48.59906019335388,6153.040380568823,5808.95,5464.859619431177,-109.5223305583313,-126.6565460136967,17.134215455365393,197.8321887281283
6917,2004-06-08,TX,200406,5950.0,5989.0,5864.0,5981.0,91.0,1.54,39146,5981.0,5769.6,5871.6,5815.1,6217.3,6392.53,6136.46,51.2299774423517,6166.790147715256,5815.1,5463.409852284744,-88.49067409141298,-119.02337162923996,30.532697537826976,192.629889533262
6922,2004-06-09,TX,200406,5959.0,5995.0,5922.0,5960.0,-21.0,-0.35,25188,5960.0,5803.6,5868.6,5816.0,6206.9,6389.59,6138.205,50.58649997101846,6169.073929935344,5816.0,5462.926070064656,-72.67965350802751,-109.75462800499747,37.07497449696996,184.08489742374329
6927,2004-06-10,TX,200406,5906.0,5919.0,5763.0,5840.0,-120.0,-2.01,43557,5840.0,5855.6,5852.5,5813.5,6194.28,6384.74,6139.34,46.95692737185671,6165.14783519878,5813.5,5461.85216480122,-69.0364931819222,-101.61100104038242,32.57450785846022,185.00740475061875
6932,2004-06-11,TX,200406,5780.0,5780.0,5668.0,5715.0,-125.0,-2.14,33329,5715.0,5877.2,5819.7,5812.0,6178.72,6378.89,6139.59,43.45897579639992,6165.056935918256,5812.0,5458.943064081744,-75.36693459956678,-96.36218775221928,20.99525315265251,184.07830441128883
6937,2004-06-14,TX,200406,5692.0,5795.0,5515.0,5540.0,-175.0,-3.06,38014,5540.0,5807.2,5780.9,5821.1,6155.68,6371.44,6139.39,39.0708442657542,6133.976269474057,5821.1,5508.223730525944,-93.42791366353777,-95.77533293448298,2.3474192709452097,190.92985409619678
6942,2004-06-15,TX,200406,5540.0,5646.0,5454.0,5604.0,64.0,1.16,30121,5604.0,5731.8,5750.7,5825.15,6134.56,6363.78,6139.67,41.40116521115406,6124.281593115869,5825.15,5526.01840688413,-101.40813471179354,-96.9018932899451,-4.5062414218484435,191.00629308932557
6947,2004-06-16,TX,200406,5660.0,5740.0,5500.0,5560.0,-44.0,-0.79,17950,5560.0,5651.8,5727.7,5808.6,6112.46,6355.71,6139.73,40.261090025824934,6127.31266055805,5808.6,5489.887339441951,-110.01476790103425,-99.52446821216293,-10.490299688871318,194.50584358294515
6952,2004-06-17,TX,200407,5450.0,5668.0,5422.0,5607.0,157.0,2.88,62878,5607.0,5605.2,5730.4,5804.7,6090.98,6348.47,6139.425,42.09536369460489,6131.181301149119,5804.7,5478.218698850881,-111.75483928404628,-101.9705424265396,-9.784296857506689,198.1839976127348
6957,2004-06-18,TX,200407,5572.0,5575.0,5430.0,5463.0,-144.0,-2.57,45800,5463.0,5554.8,5716.0,5785.85,6067.74,6339.29,6138.155,38.2229612513756,6143.99984294285,5785.85,5427.700157057151,-123.3317631392938,-106.24278656909044,-17.088976570203357,196.67085492611088
6962,2004-06-21,TX,200407,5600.0,5639.0,5452.0,5538.0,75.0,1.37,43530,5538.0,5554.4,5680.8,5769.2,6042.5,6331.37,6137.07,41.25410942007625,6140.681143532225,5769.2,5397.7188564677745,-125.01360646589183,-109.99695054845071,-15.016655917441113,195.98007957424582
6967,2004-06-23,TX,200407,5575.0,5714.0,5552.0,5660.0,122.0,2.2,46538,5660.0,5565.6,5648.7,5760.15,6019.24,6325.38,6136.995,45.90385950776455,6133.009906667377,5760.15,5387.290093332622,-115.17443976774575,-111.03244839230972,-4.141991375436035,194.55293103322828
6972,2004-06-24,TX,200407,5720.0,5735.0,5660.0,5712.0,52.0,0.92,33947,5712.0,5596.0,5623.9,5746.25,5995.08,6320.15,6137.285,47.800338356899736,6104.229259175732,5746.25,5388.270740824268,-102.00501355389679,-109.22696142462713,7.221947870730347,186.01343595942626
6977,2004-06-25,TX,200407,5688.0,5773.0,5672.0,5735.0,23.0,0.4,35556,5735.0,5621.6,5613.4,5732.95,5974.8,6314.65,6137.545,48.657704209565985,6071.309852819473,5732.95,5394.590147180526,-88.6898789014067,-105.11954491998304,16.42966601857634,179.9410476766101
6982,2004-06-28,TX,200407,5734.0,5746.0,5589.0,5615.0,-120.0,-2.09,35960,5615.0,5652.0,5603.4,5711.55,5950.54,6307.15,6136.855,44.54666357103878,6021.73025404592,5711.55,5401.36974595408,-86.81973204944006,-101.45958234587445,14.639850296434389,178.3024014139951
6987,2004-06-29,TX,200407,5592.0,5654.0,5555.0,5644.0,29.0,0.52,29181,5644.0,5673.2,5613.8,5697.35,5927.24,6298.89,6136.53,45.73978084818184,5992.2189709006,5697.35,5402.481029099401,-82.05172831015625,-97.5780115387308,15.526283228574556,172.63794417013833
6992,2004-06-30,TX,200407,5667.0,5796.0,5667.0,5750.0,106.0,1.88,40247,5750.0,5691.2,5628.4,5689.55,5905.46,6291.64,6137.02,49.97643167509358,5969.820922501767,5689.55,5409.279077498233,-68.92520995817904,-91.84745122262045,22.92224126444141,171.16380530084274
6997,2004-07-01,TX,200407,5794.0,5795.0,5720.0,5765.0,15.0,0.26,26725,5765.0,5701.8,5648.9,5688.3,5884.28,6284.71,6137.515,50.564663745186635,5966.986275227166,5688.3,5409.613724772835,-56.658847033318125,-84.80973038475999,28.150883351441863,164.29496206506823
7002,2004-07-02,TX,200407,5620.0,5658.0,5561.0,5655.0,-110.0,-1.91,25931,5655.0,5685.8,5653.7,5692.05,5863.02,6276.86,6137.53,46.2679140036116,5966.796774321359,5692.05,5417.303225678641,-55.17769263881655,-78.8833228355713,23.705630196754754,167.13103620327766
7007,2004-07-05,TX,200407,5582.0,5610.0,5542.0,5597.0,-58.0,-1.03,24339,5597.0,5682.2,5667.1,5691.55,5839.96,6267.18,6136.935,44.13817071733111,5966.949691357815,5691.55,5416.150308642185,-58.01521905179834,-74.70970207881672,16.69448302701838,163.26453361732928
7012,2004-07-06,TX,200407,5622.0,5676.0,5568.0,5667.0,70.0,1.25,27542,5667.0,5686.8,5680.0,5680.4,5818.9,6258.14,6136.465,47.291591812445155,5940.384153363278,5680.4,5420.415846636722,-53.993164599840384,-70.56639458302145,16.573229983181065,159.3170669303772
7017,2004-07-07,TX,200407,5550.0,5688.0,5520.0,5650.0,-17.0,-0.3,37028,5650.0,5666.8,5679.0,5663.85,5798.3,6248.49,6135.92,46.60353977556965,5884.324284214694,5663.85,5443.375715785307,-51.582800973949816,-66.76967586120712,15.186874887257304,159.93727643535024
7022,2004-07-08,TX,200407,5639.0,5804.0,5596.0,5634.0,-16.0,-0.28,26283,5634.0,5640.6,5671.2,5647.55,5778.88,6238.68,6135.345,45.92628140769692,5821.283675492118,5647.55,5473.816324507882,-50.382854532309466,-63.49231159542759,13.109457063118121,163.3703281185395
7027,2004-07-09,TX,200407,5641.0,5724.0,5586.0,5707.0,73.0,1.3,38772,5707.0,5651.0,5668.4,5640.9,5765.04,6228.59,6135.405,49.530042364947846,5793.5628966056365,5640.9,5488.237103394363,-43.04520014604077,-59.402889305550225,16.357689159509455,161.5581618243581
7032,2004-07-12,TX,200407,5733.0,5761.0,5693.0,5707.0,0.0,0.0,22358,5707.0,5673.0,5677.6,5640.5,5758.78,6218.7,6135.37,49.53004236494785,5792.424323266553,5640.5,5488.575676733447,-36.80578203547702,-54.883467851535585,18.077685816058562,154.8754359797611
7037,2004-07-13,TX,200407,5686.0,5698.0,5654.0,5661.0,-46.0,-0.81,19661,5661.0,5671.8,5679.3,5646.55,5751.66,6208.28,6134.95,47.22971622917639,5791.458902417998,5646.55,5501.641097582003,-35.16742560087005,-50.94025940140248,15.772833800532432,147.59861912406387
7042,2004-07-14,TX,200407,5643.0,5682.0,5597.0,5608.0,-53.0,-0.94,32520,5608.0,5663.4,5665.1,5646.75,5741.16,6197.93,6134.55,44.65632164356156,5791.434311519933,5646.75,5502.065688480067,-37.710964854657504,-48.294400492053484,10.58343563739598,143.12728918663075
7047,2004-07-15,TX,200407,5602.0,5620.0,5482.0,5550.0,-58.0,-1.03,33895,5550.0,5646.6,5643.6,5646.25,5737.66,6186.58,6133.865,41.96179832621509,5792.193653510514,5646.25,5500.306346489486,-43.900792305862524,-47.41567885481529,3.5148865489527665,142.76105424472854
7052,2004-07-16,TX,200407,5501.0,5582.0,5496.0,5505.0,-45.0,-0.81,28871,5505.0,5606.2,5628.6,5641.15,5730.78,6174.28,6133.065,39.94779132866613,5798.876693999536,5641.15,5483.4233060004635,-51.839821878107614,-48.30050745947376,-3.5393144186338574,138.70669322724794
7057,2004-07-19,TX,200407,5491.0,5545.0,5422.0,5511.0,6.0,0.11,27613,5511.0,5567.0,5620.0,5643.55,5721.42,6161.37,6132.415,40.35882414818283,5791.5195576799315,5643.55,5495.580442320069,-56.99045961273714,-50.038497890126436,-6.951961722610704,137.5847865681588
7062,2004-07-20,TX,200407,5460.0,5488.0,5281.0,5300.0,-211.0,-3.83,25758,5300.0,5494.8,5583.3,5631.65,5712.4,6144.69,6130.765,32.05073122049748,5838.30359904925,5631.65,5424.996400950749,-77.20830445197407,-55.47245920249596,-21.73584524947811,144.18587324186174
7067,2004-07-21,TX,200407,5357.0,5430.0,5353.0,5418.0,118.0,2.23,13849,5418.0,5456.8,5560.1,5619.55,5703.6,6128.32,6129.255,39.545768250607495,5845.577852266051,5619.55,5393.522147733949,-82.75552414708,-60.92907219141277,-21.826451955667224,143.17259658172875
7072,2004-07-22,TX,200408,5249.0,5308.0,5207.0,5291.0,-40.0,-0.75,34720,5291.0,5405.0,5525.8,5598.5,5690.58,6111.11,6127.0,35.06301668661642,5861.550945636006,5598.5,5335.449054363994,-96.28960767860644,-68.0011792888515,-28.28842838975494,148.01741111160527
7077,2004-07-23,TX,200408,5291.0,5339.0,5273.0,5285.0,-6.0,-0.11,29972,5285.0,5361.0,5483.6,5576.0,5678.48,6092.46,6124.28,34.86195532993365,5864.272093689273,5576.0,5287.727906310727,-106.27454938930532,-75.65585330894227,-30.61869608036305,142.15902460363347
7082,2004-07-26,TX,200408,5230.0,5279.0,5225.0,5275.0,-10.0,-0.19,19390,5275.0,5313.8,5440.4,5559.0,5669.08,6074.46,6121.38,34.50680071770883,5874.849331169146,5559.0,5243.150668830854,-113.68412424082999,-83.26150749531982,-30.42261674551017,136.29052284623108
7087,2004-07-27,TX,200408,5270.0,5394.0,5219.0,5353.0,78.0,1.48,44806,5353.0,5324.4,5409.6,5544.45,5668.98,6058.2,6118.975,39.669555833543846,5869.959124296098,5544.45,5218.940875703902,-111.97157890523431,-89.00352177730272,-22.968057127931587,139.0554855000717
7092,2004-07-28,TX,200408,5398.0,5400.0,5340.0,5360.0,7.0,0.13,27778,5360.0,5312.8,5384.8,5524.95,5665.72,6041.29,6116.305,40.12571226312059,5845.557844570303,5524.95,5204.3421554296965,-108.79540715905296,-92.96189885365277,-15.833508305400187,133.40866510720943
7097,2004-07-29,TX,200408,5355.0,5355.0,5281.0,5297.0,-63.0,-1.18,29294,5297.0,5314.0,5359.5,5501.55,5653.84,6024.96,6112.65,37.38594992892267,5816.933243055158,5501.55,5186.166756944843,-110.09276083758232,-96.38807125043868,-13.704689587143633,129.5223318852659
7102,2004-07-30,TX,200408,5337.0,5407.0,5336.0,5356.0,59.0,1.11,33673,5356.0,5328.2,5344.6,5486.6,5647.26,6009.3,6109.535,41.41995102785772,5799.8094506875495,5486.6,5173.390549312451,-105.14803496363675,-98.1400639930783,-7.007970970558446,128.12787960774693
7107,2004-08-02,TX,200408,5323.0,5323.0,5255.0,5280.0,-76.0,-1.42,25760,5280.0,5329.2,5321.5,5470.75,5636.06,5994.03,6106.185,38.02179657927525,5791.988774122916,5470.75,5149.511225877084,-106.13837184343902,-99.73972556315044,-6.398646280288574,126.1901739214793
7112,2004-08-03,TX,200408,5305.0,5319.0,5265.0,5282.0,2.0,0.04,23697,5282.0,5315.0,5319.7,5451.5,5624.28,5981.22,6102.295,38.165565500168974,5769.5166662299225,5451.5,5133.4833337700775,-105.54517855162067,-100.90081616084449,-4.64436239077618,121.03373292708793
7117,2004-08-04,TX,200408,5250.0,5266.0,5212.0,5254.0,-28.0,-0.53,25644,5254.0,5293.8,5303.3,5431.7,5612.54,5968.21,6098.165,36.875887675536404,5747.115979303538,5431.7,5116.284020696462,-106.11125014861045,-101.94290295839768,-4.168347190212771,117.3884662894388
7122,2004-08-05,TX,200408,5259.0,5410.0,5214.0,5399.0,145.0,2.76,51427,5399.0,5314.2,5314.1,5419.95,5600.72,5956.55,6094.8,46.885500486360485,5721.552039117786,5419.95,5118.347960882214,-93.77855695367543,-100.31003375745323,6.531476803777792,123.00357584019318
7127,2004-08-06,TX,200408,5335.0,5408.0,5332.0,5369.0,-30.0,-0.56,30009,5369.0,5316.8,5322.5,5403.05,5588.08,5941.79,6091.275,45.285503619080835,5674.8237846077045,5403.05,5131.276215392296,-85.44065137982398,-97.33615728192737,11.895505902103395,119.64617756589367
7132,2004-08-09,TX,200408,5300.0,5390.0,5271.0,5380.0,11.0,0.2,27565,5380.0,5336.8,5333.0,5386.7,5574.82,5927.29,6087.92,46.01299181432815,5619.982746897447,5386.7,5153.417253102552,-77.05692876350349,-93.28031157824259,16.223382814739097,119.60002202547268
7137,2004-08-10,TX,200408,5385.0,5390.0,5342.0,5364.0,-16.0,-0.3,23213,5364.0,5353.2,5334.1,5371.85,5563.54,5917.41,6085.015,45.07421215780125,5568.302818763166,5371.85,5175.3971812368345,-70.88669675626079,-88.80158861384623,17.914891857585445,114.48573473793893
7142,2004-08-11,TX,200408,5400.0,5409.0,5292.0,5325.0,-39.0,-0.73,33885,5325.0,5367.4,5330.6,5357.7,5551.92,5910.11,6081.85,42.782907686527565,5522.255279465588,5357.7,5193.144720534412,-68.35575490721021,-84.71242187251903,16.35666696530882,114.66532511380044
7147,2004-08-12,TX,200408,5310.0,5348.0,5303.0,5348.0,23.0,0.43,19967,5348.0,5357.2,5335.7,5347.6,5543.08,5901.79,6078.59,44.57239523933146,5486.5005399556985,5347.6,5208.699460044302,-63.75908246243034,-80.5217539905013,16.762671528070953,109.68923046281468
7152,2004-08-13,TX,200408,5300.0,5396.0,5293.0,5356.0,8.0,0.15,34742,5356.0,5354.6,5335.7,5340.15,5538.6,5894.0,6074.72,45.2142216273745,5459.021821724096,5340.15,5221.278178275903,-58.792925048857796,-76.17598820217259,17.383063153314794,109.21142828689935
7157,2004-08-16,TX,200408,5339.0,5350.0,5314.0,5331.0,-25.0,-0.47,14680,5331.0,5344.8,5340.8,5331.15,5533.08,5886.06,6070.575,43.51832892005868,5420.510561770852,5331.15,5241.789438229147,-56.22635812883527,-72.18606218750513,15.959704058669857,104.41061198069225
7162,2004-08-17,TX,200408,5362.0,5375.0,5316.0,5339.0,8.0,0.15,18196,5339.0,5339.8,5346.5,5333.1,5522.06,5874.74,6066.6,44.239084267000926,5421.351685536224,5333.1,5244.848314463777,-52.93658224415776,-68.33616619883566,15.399583954677894,101.16699683921424
7167,2004-08-18,TX,200408,5328.0,5423.0,5295.0,5423.0,84.0,1.57,18011,5423.0,5359.4,5363.4,5333.35,5510.9,5864.1,6063.375,51.270549475847474,5422.585138818638,5333.35,5244.114861181362,-43.0550019100765,-63.279933341083826,20.224931431007327,103.0836399221275
7172,2004-08-19,TX,200409,5427.0,5548.0,5421.0,5528.0,148.0,2.75,40525,5528.0,5395.4,5376.3,5345.2,5502.26,5854.58,6060.265,58.34200751347114,5466.114184445041,5345.2,5224.285815554958,-26.446299347361673,-55.913206542339395,29.466907194977722,104.79195135626125
7177,2004-08-20,TX,200409,5542.0,5625.0,5526.0,5583.0,55.0,0.99,36137,5583.0,5440.8,5397.7,5360.1,5497.12,5845.7,6057.46,61.49412586218966,5516.039603693166,5360.1,5204.160396306835,-8.744936378313469,-46.47955250953421,37.73461613122074,104.37824054509973
7182,2004-08-23,TX,200409,5613.0,5628.0,5576.0,5606.0,23.0,0.41,23079,5606.0,5495.8,5420.3,5376.65,5494.94,5836.83,6054.665,62.763028668978016,5560.678557566537,5376.65,5192.621442433462,7.058068071833077,-35.772028393260754,42.83009646509383,100.63693764902118
7187,2004-08-26,TX,200409,5722.0,5813.0,5700.0,5783.0,177.0,3.16,35392,5783.0,5584.6,5462.2,5398.15,5499.8,5827.74,6053.705,70.75108682603887,5652.963088360906,5398.15,5143.336911639093,33.478563660160944,-21.921909982576416,55.40047364273736,108.23429924551967
7192,2004-08-27,TX,200409,5800.0,5818.0,5758.0,5810.0,27.0,0.47,23284,5810.0,5662.0,5510.7,5420.65,5503.92,5819.24,6052.46,71.74674560810303,5731.355181804268,5420.65,5109.944818195731,55.95070620189745,-6.347386745681645,62.29809294757909,104.78899215655397
7197,2004-08-30,TX,200409,5810.0,5819.0,5777.0,5785.0,-25.0,-0.43,18023,5785.0,5713.4,5554.4,5445.05,5508.42,5810.44,6051.14,69.39133321910793,5788.049402331824,5445.05,5102.050597668176,70.9251688063705,9.107124364728785,61.81804444164171,100.30406414537154
7202,2004-08-31,TX,200409,5766.0,5875.0,5734.0,5763.0,-22.0,-0.38,52609,5763.0,5749.4,5595.1,5465.4,5511.54,5801.26,6049.755,67.29755166881542,5832.312196581167,5465.4,5098.487803418832,80.09404784057187,23.304509059897402,56.78953878067448,103.21091670641644
7207,2004-09-01,TX,200409,5800.0,5867.0,5785.0,5856.0,93.0,1.61,34567,5856.0,5799.4,5647.6,5494.2,5519.4,5793.57,6048.99,71.24714245201066,5887.831604422229,5494.2,5100.56839557777,93.78369326234679,37.40034590038728,56.38334736195951,103.26727979881527
7212,2004-09-02,TX,200409,5850.0,5860.0,5794.0,5840.0,-16.0,-0.27,26755,5840.0,5810.8,5697.7,5522.1,5525.44,5783.97,6047.83,69.68776908776292,5930.440495175263,5522.1,5113.759504824738,102.16408562114611,50.353093844539046,51.81099177660707,100.60533124175704
7217,2004-09-03,TX,200409,5850.0,5870.0,5746.0,5762.0,-78.0,-1.34,45361,5762.0,5801.2,5731.6,5547.5,5527.48,5773.36,6046.35,62.505521864416465,5949.11698171268,5547.5,5145.88301828732,101.34343478406754,60.55116203244474,40.7922727516228,102.27637901020297
7222,2004-09-06,TX,200409,5753.0,5788.0,5715.0,5780.0,18.0,0.31,28759,5780.0,5800.2,5756.8,5566.55,5528.84,5761.96,6045.36,63.44189732233797,5974.282007573584,5566.55,5158.817992426416,100.98146122471462,68.63722187089871,32.34423935381591,100.18520908090275
7227,2004-09-07,TX,200409,5771.0,5842.0,5763.0,5840.0,60.0,1.04,33963,5840.0,5815.6,5782.5,5590.1,5530.94,5752.87,6044.635,66.44965680621695,6003.835132663369,5590.1,5176.3648673366315,104.33340261012472,75.77645801874391,28.556944591380812,98.67197986083828
7232,2004-09-08,TX,200409,5850.0,5879.0,5810.0,5828.0,-12.0,-0.21,31458,5828.0,5810.0,5804.7,5612.5,5535.2,5742.87,6044.45,65.29264341032089,6026.819441976832,5612.5,5198.180558023168,104.81331791082903,81.58382999716093,23.229487913668095,96.55255272792125
7237,2004-09-09,TX,200409,5812.0,5854.0,5785.0,5843.0,15.0,0.26,23185,5843.0,5810.6,5810.7,5636.45,5539.18,5733.21,6044.175,66.08752033164357,6045.890826005427,5636.45,5227.009173994573,105.19144735826649,86.30535346938204,18.886093888884446,94.58451324735545
7242,2004-09-10,TX,200409,5845.0,5875.0,5815.0,5841.0,-2.0,-0.03,28530,5841.0,5826.4,5813.8,5662.25,5541.0,5723.23,6044.07,65.87090191364304,6054.610994493599,5662.25,5269.889005506401,104.1293955309502,89.87016188169568,14.259233649254526,92.11419087254434
7247,2004-09-13,TX,200409,5900.0,5939.0,5892.0,5930.0,89.0,1.52,24950,5930.0,5856.4,5828.3,5691.35,5544.3,5714.29,6044.47,70.50411291760305,6072.332033697093,5691.35,5310.367966302908,109.2103589650369,93.73820129836392,15.472157666672985,92.53460581021974
7252,2004-09-14,TX,200409,5949.0,5956.0,5921.0,5935.0,5.0,0.08,19073,5935.0,5875.4,5845.5,5720.3,5549.9,5706.46,6044.705,70.74440029300142,6082.482329773267,5720.3,5358.117670226733,112.34546867590234,97.4596547738716,14.885813902030733,88.42499110948975
7257,2004-09-15,TX,200409,5923.0,5933.0,5870.0,5879.0,-56.0,-0.94,13081,5879.0,5885.6,5847.8,5747.7,5555.54,5697.75,6044.58,64.41504450653505,6068.479114033332,5747.7,5426.920885966668,109.05422450434799,99.77856871996688,9.275655784381101,86.75177745881192
7262,2004-09-16,TX,200410,5850.0,5888.0,5814.0,5868.0,-3.0,-0.05,27198,5868.0,5890.6,5850.6,5774.15,5559.56,5689.23,6044.83,63.218575408843,6037.945583738649,5774.15,5510.354416261351,104.35533833570116,100.69392264311374,3.6614156925874255,85.84093621175393
7267,2004-09-17,TX,200410,5860.0,5871.0,5797.0,5797.0,-71.0,-1.21,26662,5797.0,5881.8,5854.1,5792.85,5562.5,5680.4,6044.775,55.989671655264004,6001.733963003364,5792.85,5583.966036996637,93.82082252453165,99.31930261939732,-5.49848009486567,84.99515505377151
7272,2004-09-20,TX,200410,5813.0,5875.0,5812.0,5840.0,43.0,0.74,27601,5840.0,5863.8,5860.1,5808.45,5566.62,5672.75,6044.405,59.04415930040123,5978.9627267977485,5808.45,5637.937273202251,87.92830076336395,97.04110224819064,-9.11280148482669,84.49550112135925
7277,2004-09-21,TX,200410,5866.0,5945.0,5856.0,5945.0,105.0,1.8,37292,5945.0,5865.8,5870.6,5826.55,5571.38,5668.21,6044.48,65.36536479237922,5972.590371130697,5826.55,5680.509628869303,90.68568911842249,95.77001962223702,-5.0843305038145274,85.9601081841193
7282,2004-09-22,TX,200410,5955.0,5959.0,5918.0,5936.0,-9.0,-0.15,19250,5936.0,5877.2,5881.4,5843.05,5575.96,5667.37,6044.62,64.44718879494992,5956.655413603392,5843.05,5729.444586396608,91.09463225565105,94.83494214891982,-3.7403098932687726,82.74867188525364
7287,2004-09-23,TX,200410,5890.0,5933.0,5886.0,5917.0,-19.0,-0.32,19885,5917.0,5887.0,5888.8,5849.75,5581.08,5666.37,6044.535,62.45272830787827,5964.201518120145,5849.75,5735.298481879855,88.86124431751796,93.64020258263945,-4.778958265121489,80.40948103630696
7292,2004-09-24,TX,200410,5915.0,5930.0,5862.0,5888.0,-29.0,-0.49,27518,5888.0,5905.2,5893.5,5853.65,5586.68,5663.92,6044.455,59.42962142017455,5967.732908448183,5853.65,5739.567091551817,83.78538488658705,91.66923904342897,-7.88385415684192,79.5230895337136
