,date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr
43931,2021-03-04,TX,202103,16025.0,16066.0,15756.0,15925.0,-254.0,-1.57,198855,15922.0,16067.2,16203.4,15925.45,15347.88,14311.5,13169.31,51.94057522315959,16695.13837200515,15925.45,15155.76162799485,209.62615427328456,268.2547290588598,-58.62857478557527,319.8369366482105
43956,2021-03-05,TX,202103,15601.0,15914.0,15570.0,15855.0,-67.0,-0.42,168446,15847.0,15960.6,16150.9,15936.9,15380.98,14345.33,13193.67,50.491121638290714,16695.157449683164,15936.9,15178.642550316838,177.86580460765072,250.176944168618,-72.31113956096729,322.34858403048116
43981,2021-03-08,TX,202103,15950.0,16095.0,15767.0,15816.0,-31.0,-0.2,175531,15819.0,15936.8,16101.1,15944.7,15415.6,14378.2,13218.425,49.65964054246167,16694.566414769903,15944.7,15194.833585230099,147.8442679225227,229.71040891939896,-81.86614099687625,322.7522565997325
44006,2021-03-09,TX,202103,15810.0,15848.0,15608.0,15822.0,3.0,0.02,171528,15822.0,15919.8,16044.8,15966.65,15448.2,14409.67,13242.96,49.796615660403546,16673.956234950616,15966.65,15259.343765049385,123.11691846354552,208.39171082822827,-85.27479236468275,316.84138112832306
44034,2021-03-10,TX,202103,15977.0,15986.0,15808.0,15883.0,61.0,0.39,136272,15885.0,15860.2,15989.4,16007.05,15482.14,14440.95,13268.625,51.248969505777296,16586.83012211528,16007.05,15427.269877884719,107.20669403313877,188.15470746921036,-80.94801343607159,306.9241396191571
44062,2021-03-11,TX,202103,15951.0,16214.0,15942.0,16174.0,289.0,1.82,135436,16169.0,15910.0,15988.6,16047.75,15522.88,14473.96,13295.405,57.556994571079365,16549.106908798512,16047.75,15546.393091201488,116.73336498899516,173.87043897316732,-57.13707398417216,308.64384393207445
44093,2021-03-12,TX,202103,16276.0,16288.0,16155.0,16222.0,53.0,0.33,116406,16223.0,15983.4,15972.0,16071.1,15561.08,14506.98,13322.7,58.51062357094317,16559.065121704327,16071.1,15583.134878295674,126.69604605140194,164.43556038881425,-37.73951433741232,296.09785507978347
44120,2021-03-15,TX,202103,16206.0,16249.0,16142.0,16200.0,-23.0,-0.14,125844,16199.0,16060.2,15998.5,16092.5,15604.16,14539.79,13349.34,57.86884638885188,16563.359851760586,16092.5,15621.640148239416,131.30275006267402,157.8089983235862,-26.506248260912173,282.59086543122754
44145,2021-03-16,TX,202103,16250.0,16348.0,16213.0,16305.0,106.0,0.65,128695,16305.0,16156.8,16038.3,16122.7,15648.0,14573.96,13376.6,60.117307189278556,16565.912860824083,16122.7,15679.487139175919,141.79173183717103,154.60554502630316,-12.813813189132134,272.9772321861399
44176,2021-03-17,TX,202104,16252.0,16274.0,16116.0,16160.0,-82.0,-0.5,57926,16158.0,16212.2,16036.2,16140.5,15686.36,14607.16,13402.64,55.696767004855474,16558.990860115275,16140.5,15722.009139884723,136.82678329198097,151.04979267943872,-14.22300938745775,266.9788584585585
44206,2021-03-18,TX,202104,16255.0,16401.0,16220.0,16239.0,81.0,0.5,138744,16235.0,16225.2,16067.6,16135.5,15725.04,14642.1,13430.12,57.5291269300205,16546.71113798148,16135.5,15724.28886201852,137.6795810609401,148.375750355739,-10.696169294798892,265.12322571151856
44231,2021-03-19,TX,202104,16100.0,16110.0,15953.0,16012.0,-223.0,-1.37,149724,16010.0,16183.2,16083.3,16117.1,15756.54,14673.26,13456.095,51.00168070670185,16515.640788376637,16117.1,15718.559211623364,118.67046727809247,142.4346937402097,-23.76422646211722,266.6144238749815
44262,2021-03-22,TX,202104,16018.0,16174.0,15911.0,16140.0,130.0,0.81,134577,16137.0,16171.2,16115.7,16108.4,15790.16,14706.1,13481.875,54.160087704728156,16496.836558526662,16108.4,15719.963441473335,112.63574317725033,136.47490362761783,-23.8391604503675,266.3562507410543
44291,2021-03-23,TX,202104,16223.0,16277.0,16103.0,16120.0,-17.0,-0.11,117179,16119.0,16134.2,16145.5,16095.15,15819.8,14739.24,13507.615,53.57894104622475,16462.445671088204,16095.15,15727.854328911797,105.02864317599415,130.1856515372931,-25.15700836129895,259.75937568812185
44320,2021-03-24,TX,202104,16019.0,16062.0,15939.0,15983.0,-136.0,-0.84,131876,15981.0,16098.8,16155.5,16072.45,15845.9,14770.7,13532.995,49.64894875664413,16407.09636558603,16072.45,15737.803634413973,86.9429819992165,121.53711762967778,-34.59413563046128,254.13370599611315
44344,2021-03-25,TX,202104,15890.0,16090.0,15870.0,16032.0,51.0,0.32,136413,16030.0,16057.4,16141.3,16064.95,15869.06,14802.63,13558.545,51.03240845643852,16396.145093562598,16064.95,15733.754906437403,75.69133313422935,112.3679607305881,-36.67662759635874,251.69558413924793
44372,2021-03-26,TX,202104,16095.0,16293.0,16081.0,16288.0,258.0,1.61,123696,16285.0,16112.6,16147.9,16059.95,15895.28,14836.93,13584.7,57.58882900477489,16374.064931195477,16059.95,15745.835068804525,86.43501185101377,107.18137095467323,-20.746359103659458,252.3601852721588
44403,2021-03-29,TX,202104,16370.0,16485.0,16350.0,16411.0,126.0,0.77,112333,16408.0,16166.8,16169.0,16083.75,15925.28,14872.97,13611.225,60.33670232658599,16427.155227100542,16083.75,15740.344772899456,103.67937538295519,106.48097184032962,-2.80159645737443,248.40588632414742
