date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,stoch_slowk,stoch_slowd,profit_or_loss_after_20_days
2020-08-11,12825.0,12874.0,12727.0,12737.0,-117.0,-0.91,106920,12735.0,12786.8,12660.2,12440.15,11936.34,11114.75,11337.265,64.12924474682691,12980.871471739414,12440.15,11899.428528260585,258.2051809471541,252.58244164511163,5.622739302042447,186.14260423138393,73.43964978111292,76.94993573042329,-70.0
2020-08-12,12700.0,12701.0,12565.0,12655.0,-80.0,-0.63,131890,12655.0,12769.0,12683.4,12468.85,11968.3,11152.11,11344.755,60.55587350371579,12990.883820743391,12468.85,11946.81617925661,241.88078919737382,250.44211115556408,-8.561321958190263,185.1324182148565,66.26328955597221,73.18845111528015,-57.0
2020-08-13,12816.0,12836.0,12702.0,12723.0,68.0,0.54,113664,12725.0,12746.6,12696.1,12503.4,12000.64,11195.81,11352.62,62.42566450499746,12995.838178861077,12503.4,12010.961821138922,231.75904877577887,246.70549867960705,-14.946449903828182,184.83724548522392,57.69230769230742,65.79841567646422,-24.0
2020-08-14,12696.0,12790.0,12646.0,12788.0,63.0,0.5,105105,12789.0,12751.6,12717.2,12540.85,12030.74,11233.56,11360.785,64.17389788868142,12999.054441270557,12540.85,12082.645558729444,226.37296669303942,242.63899228229351,-16.2660255892541,181.92029937913648,59.26958362738153,61.07506029188709,-127.0
2020-08-17,12776.0,12959.0,12771.0,12955.0,166.0,1.3,126563,12953.0,12771.6,12768.4,12587.05,12062.7,11276.23,11369.35,68.25994669645713,13015.68526453158,12587.05,12158.41473546842,232.89529022715578,240.69025187126596,-7.794961644110174,182.35456370919815,76.23886645960853,64.4002525930992,-170.0
2020-08-18,12983.0,12998.0,12836.0,12875.0,-78.0,-0.6,134346,12877.0,12799.2,12793.0,12616.35,12091.06,11313.05,11377.72,64.46681101957029,13039.564496443436,12616.35,12193.135503556565,228.96952900485667,238.3461072979841,-9.376578293127437,180.9006663013983,79.71876223742578,71.74240410813864,-35.0
2020-08-19,12877.0,12910.0,12739.0,12750.0,-81.0,-0.63,71906,12749.0,12818.2,12793.6,12637.3,12114.66,11344.72,11385.02,58.954263339171966,13043.061555596458,12637.3,12231.53844440354,213.31294082208842,233.33947400280496,-20.02653318071654,180.19347585129842,71.10115942368762,75.68626270690734,155.0
2020-08-20,12695.0,12709.0,12067.0,12305.0,-444.0,-3.48,237845,12298.0,12734.6,12740.6,12638.15,12128.58,11371.39,11390.125,44.3988996929854,13041.042181606957,12638.15,12235.257818393042,163.11689092593588,219.29495738743114,-56.17806646149526,216.10822757620568,46.62753882396496,65.81582016169281,511.0
2020-08-21,12466.0,12598.0,12423.0,12543.0,245.0,1.99,134925,12551.0,12685.6,12718.6,12657.8,12145.32,11400.99,11396.285,51.321184651941074,12996.813628044845,12657.8,12318.786371955153,140.91637444403932,203.61924079875277,-62.70286635471345,221.60049703504814,39.805634177823045,52.51144414182523,292.0
2020-08-24,12568.0,12653.0,12503.0,12604.0,53.0,0.42,103793,12603.0,12615.4,12693.5,12662.85,12167.58,11431.27,11402.675,52.93840893696168,12995.437597483717,12662.85,12330.262402516284,126.7830196568666,188.25199657037552,-61.468976913508925,216.48617581825897,44.790547798066335,43.74124026661814,55.0
